signatory,constituency_name,constituency_gss,mp_name,mp_party
Ringwood and Hangersley WI,New Forest West,E14001374,Desmond Swayne,Conservative Party
Sowing Sneinton,Nottingham East,E14001410,Nadia Whittome,Labour Party
Climate Friendly Bradford on Avon,Melksham and Devizes,E14001356,Brian Mathew,Liberal Democrats
Havant Climate Alliance,Havant,E14001275,Alan Mak,Conservative Party
Sustainable Thorton Heath,Croydon West,E14001188,Sarah Jones,Labour Party
Green Heart Collective,Gateshead Central and Whickham,E14001244,Mark Ferguson,Labour Party
Avenue St Andrew's United Reformed Church,Southampton Test,E14001500,Satvir Kaur,Labour Party
Brighton CSA - Fork and Dig It CIC,Brighton Pavilion,E14001130,Siân Berry,Green Party
Extinction Rebellion Bury St Edmunds,Bury St Edmunds and Stowmarket,E14001146,Peter Prinsley,Labour Party
Croydon Cyclists,Croydon West,E14001188,Sarah Jones,Labour Party
Croydon Cyclists,Croydon South,E14001187,Chris Philp,Conservative Party
Croydon Cyclists,Croydon East,E14001186,Natasha Irons,Labour Party
Shipley Fairtrade Group,Shipley,E14001472,Anna Dixon,Labour Party
The Bourne Parish and Tilford,Farnham and Bordon,E14001234,Gregory Stafford,Conservative Party
Eco7,West Ham and Beckton,E14001576,James Asser,Labour Party
Newtown Linford Biodiversity Group,Mid Leicestershire,E14001364,Peter Bedford,Conservative Party
Bee Friendly Leamington,Warwick and Leamington,E14001566,Matt Western,Labour Party
Bradford-Shipley Travel Alliance,Shipley,E14001472,Anna Dixon,Labour Party
Bradford-Shipley Travel Alliance,Keighley and Ilkley,E14001308,Robbie Moore,Conservative Party
Bradford-Shipley Travel Alliance,Bradford East,E14001118,Imran Hussain,Labour Party
Bradford-Shipley Travel Alliance,Bradford West,E14001120,Naseem Shah,Labour Party
Bradford-Shipley Travel Alliance,Bradford South,E14001119,Judith Cummins,Labour Party
"The Friends of All Saints Church, Hemblington",Broadland and Fakenham,E14001136,Jerome Mayhew,Conservative Party
John Price Photography Ltd,Epping Forest,E14001226,Neil Hudson,Conservative Party
The Parish churches of Dacre with Hartwith & Darley with Thornthwaite,Skipton and Ripon,E14001475,Julian Smith,Conservative Party
New Forest Women’s Institute,New Forest East,E14001373,Julian Lewis,Conservative Party
New Forest Women’s Institute,New Forest West,E14001374,Desmond Swayne,Conservative Party
Roots of Respect,Leeds North East,E14001321,Fabian Hamilton,Labour Party
Kimpton Environmentalists,Hitchin,E14001289,Alistair Strathern,Labour Party
Nidderdale Community Energy Initiative,Skipton and Ripon,E14001475,Julian Smith,Conservative Party
Hope Valley Climate Action,High Peak,E14001287,Jonathan Pearce,Labour Party
Hope Valley Climate Action,Derbyshire Dales,E14001195,John Whitby,Labour Party
Christ Church Lancaster Ecochurch,Lancaster and Wyre,E14001318,Cat Smith,Labour Party
Sustainable Haringey,Tottenham,E14001553,David Lammy,Labour Party
Dance Free CIC,Lincoln,E14001336,Hamish Falconer,Labour Party
Stowey Green Spaces Group,Bridgwater,E14001126,Ashley Fox,Conservative Party
Central Barnsley Benefice,Barnsley North,E14001074,Dan Jarvis,Labour Party
Central Barnsley Benefice,Barnsley South,E14001075,Stephanie Peacock,Labour Party
Transition Belper,Mid Derbyshire,E14001362,Jonathan Davies,Labour Party
Just Transition Wakefield,Wakefield and Rothwell,E14001560,Simon Lightwood,Labour Co-operative
Greening Wymondham,South Norfolk,E14001489,Ben Goldsborough,Labour Party
Sussex green living,Horsham,E14001294,John Milne,Liberal Democrats
Green spece friends,Whitehaven and Workington,E14001583,Josh MacAlister,Labour Party
Minehead and Coast Development Trust,Tiverton and Minehead,E14001548,Rachel Gilmour,Liberal Democrats
Ribble Valley Climate Action Network,Ribble Valley,E14001443,Maya Ellis,Labour Party
North Yorkshire West Federation Women's Institute,Harrogate and Knaresborough,E14001269,Tom Gordon,Liberal Democrats
North Yorkshire West Federation Women's Institute,Skipton and Ripon,E14001475,Julian Smith,Conservative Party
Carnforth Wombles,Morecambe and Lunesdale,E14001372,Lizzi Collinge,Labour Party
Transition Telford,Telford,E14001541,Shaun Davies,Labour Party
Ardwick Climate Action,Manchester Rusholme,E14001353,Afzal Khan,Labour Party
Women's Institute - Flood Group - History Group for Sturmer,Braintree,E14001121,James Cleverly,Conservative Party
Ketton Climate Action,Rutland and Stamford,E14001458,Alicia Kearns,Conservative Party
Wilder Wirksworth,Derbyshire Dales,E14001195,John Whitby,Labour Party
Transition Lichfield,Lichfield,E14001335,Dave Robertson,Labour Party
Clacton Community Transition,Clacton,E14001174,Nigel Farage,Reform UK
Stalybridge Women's Institute,Stalybridge and Hyde,E14001515,Jonathan Reynolds,Labour Co-operative
Nailsea Climate Emergency Group,North Somerset,E14001399,Sadik Al-Hassan,Labour Party
Andover Trees United,North West Hampshire,E14001403,Kit Malthouse,Conservative Party
WildCookham CIO,Maidenhead,E14001348,Joshua Reynolds,Liberal Democrats
Green Space Friends Workington,Whitehaven and Workington,E14001583,Josh MacAlister,Labour Party
Brighton Freegle,Brighton Pavilion,E14001130,Siân Berry,Green Party
Nailsea climate emergency,North Somerset,E14001399,Sadik Al-Hassan,Labour Party
Greenside cafe Church,Blaydon and Consett,E14001106,Liz Twist,Labour Party
Rackenford community shop,North Devon,E14001387,Ian Roome,Liberal Democrats
Womens Institute (Brandsby),Thirsk and Malton,E14001544,Kevin Hollinrake,Conservative Party
Mammoth - A Climate Action Cinema,Nottingham South,E14001412,Lilian Greenwood,Labour Party
Edinburgh Communities Climate Action Network,Edinburgh South West,S14000081,Scott Arthur,Labour Party
Norwich friends of the Earth,Norwich North,E14001408,Alice Macdonald,Labour Co-operative
Norwich friends of the Earth,Norwich South,E14001409,Clive Lewis,Labour Party
The Bourne Parish,Farnham and Bordon,E14001234,Gregory Stafford,Conservative Party
"Creation care team, St Kea Church",Truro and Falmouth,E14001554,Jayne Kirkham,Labour Co-operative
"Spokes, the Lothian Cycle Campaign",Edinburgh South West,S14000081,Scott Arthur,Labour Party
Winchester Action on the Climate Crisis,Winchester,E14001587,Danny Chambers,Liberal Democrats
All Saints Kingston Eco-Church Group,Richmond Park,E14001445,Sarah Olney,Liberal Democrats
Nailsea Climate Emergency Group,North Somerset,E14001399,Sadik Al-Hassan,Labour Party
Sustainable Sherston,South Cotswolds,E14001482,Roz Savage,Liberal Democrats
Climate Action Frodsham,Runcorn and Helsby,E14001455,Mike Amesbury,Labour Party
Greener Basingstoke,Basingstoke,E14001078,Luke Murphy,Labour Party
EarthLincs,Lincoln,E14001336,Hamish Falconer,Labour Party
Sleaford Climate Action Network,Sleaford and North Hykeham,E14001476,Caroline Johnson,Conservative Party
Ketton Climate Action,Rutland and Stamford,E14001458,Alicia Kearns,Conservative Party
Ealing Wildlife Group,Ealing North,E14001208,James Murray,Labour Co-operative
"All Saints Church, Allesley",Coventry North West,E14001181,Taiwo Owatemi,Labour Party
Cranleigh Climate Action,Godalming and Ash,E14001249,Jeremy Hunt,Conservative Party
Extinction Rebellion Romsey,Romsey and Southampton North,E14001449,Caroline Nokes,Conservative Party
Havant Friends of the Earth,Havant,E14001275,Alan Mak,Conservative Party
Yeovil Community Church,Yeovil,E14001603,Adam Dance,Liberal Democrats
Wild Colerne,Melksham and Devizes,E14001356,Brian Mathew,Liberal Democrats
Longridge Environment Group,Ribble Valley,E14001443,Maya Ellis,Labour Party
WemsFest,Havant,E14001275,Alan Mak,Conservative Party
WemsFest,East Hampshire,E14001214,Damian Hinds,Conservative Party
Circular Dorking,Dorking and Horley,E14001201,Chris Coghlan,Liberal Democrats
Rasen Area Environment Group,Gainsborough,E14001243,Edward Leigh,Conservative Party
Environment Kirklees Ltd.,Huddersfield,E14001297,Harpreet Uppal,Labour Party
Parish of Herne Hill,Dulwich and West Norwood,E14001205,Helen Hayes,Labour Party
Dorking Climate Emergency,Dorking and Horley,E14001201,Chris Coghlan,Liberal Democrats
Essex and Suffolk Rivers Trust,Suffolk Coastal,E14001530,Jenny Riddell-Carpenter,Labour Party
Brighton Permaculture Trust,Brighton Pavilion,E14001130,Siân Berry,Green Party
Newham African and Caribbean Network,Stratford and Bow,E14001525,Uma Kumaran,Labour Party
Eco Rother Action,East Hampshire,E14001214,Damian Hinds,Conservative Party
Southampton Friends of the Earth,Southampton Test,E14001500,Satvir Kaur,Labour Party
Southampton Friends of the Earth,Southampton Itchen,E14001499,Darren Paffey,Labour Party
Southampton Friends of the Earth,Romsey and Southampton North,E14001449,Caroline Nokes,Conservative Party
Manor Woods Valley Group,Bristol South,E14001135,Karin Smyth,Labour Party
Transition Town Romsey,Romsey and Southampton North,E14001449,Caroline Nokes,Conservative Party
Pocklington Fairtrade and Local produce Action Group (Pocklington FLAG),Bridlington and The Wolds,E14001127,Charlie Dewhirst,Conservative Party
ECO Action for Windsor and Maidenhead,Windsor,E14001588,Jack Rankin,Conservative Party
ECO Action for Windsor and Maidenhead,Maidenhead,E14001348,Joshua Reynolds,Liberal Democrats
Greener Rendlesham,Suffolk Coastal,E14001530,Jenny Riddell-Carpenter,Labour Party
PB Gems Women's Institute,Hertsmere,E14001284,Oliver Dowden,Conservative Party
Kettleshulme Women's Institute,Macclesfield,E14001347,Tim Roca,Labour Party
Baildon and Shipley Friends of the Earth,Shipley,E14001472,Anna Dixon,Labour Party
Emsworth Residents Forum,Havant,E14001275,Alan Mak,Conservative Party
"St Paul's church, Tongham",Surrey Heath,E14001532,Al Pinkerton,Liberal Democrats
Transition Town Wellington,Taunton and Wellington,E14001540,Gideon Amos,Liberal Democrats
Cookhams Footprint,Maidenhead,E14001348,Joshua Reynolds,Liberal Democrats
Friends of Withywood Park,Bristol South,E14001135,Karin Smyth,Labour Party
Eco Barnoldswick,Pendle and Clitheroe,E14001422,Jonathan Hinder,Labour Party
Lyric Theatre,Belfast South and Mid Down,N05000003,Claire Hanna,Social Democratic and Labour Party
Greener Practice York and North Yorkshire,York Central,E14001604,Rachael Maskell,Labour Co-operative
Climate Action Hub Telford,Telford,E14001541,Shaun Davies,Labour Party
Climate Action Hub Telford,The Wrekin,E14001543,Mark Pritchard,Conservative Party
Net Zero Stratford,Stratford-on-Avon,E14001526,Manuela Perteghella,Liberal Democrats
Alton Climate Action Network,East Hampshire,E14001214,Damian Hinds,Conservative Party
Hangers Environment Network,East Hampshire,E14001214,Damian Hinds,Conservative Party
WinACC,Winchester,E14001587,Danny Chambers,Liberal Democrats
Rhiwbina Eco Team,Cardiff North,W07000090,Anna McMorrin,Labour Party
Diocese of Coventry Environment Group,Coventry South,E14001182,Zarah Sultana,Labour Party
Earth Trust,Didcot and Wantage,E14001197,Olly Glover,Liberal Democrats
Coventry Diocesan Environmental Committee,Coventry South,E14001182,Zarah Sultana,Labour Party
Anglesey Federation Womens Insitute,Ynys Môn,W07000112,Llinos Medi,Plaid Cymru
Radley Environment Group,Oxford West and Abingdon,E14001420,Layla Moran,Liberal Democrats
WIrksworth Community Growers,Derbyshire Dales,E14001195,John Whitby,Labour Party
Cardigan Extinction Rebellion,Ceredigion Preseli,W07000093,Ben Lake,Plaid Cymru
Cardross CAN,"Argyll, Bute and South Lochaber",S14000067,Brendan O'Hara,Scottish National Party
Corsham Climate Action,Chippenham,E14001168,Sarah Gibson,Liberal Democrats
Wiltshire Wildlife Trust,Melksham and Devizes,E14001356,Brian Mathew,Liberal Democrats
Hatch Warren Nature Group,Basingstoke,E14001078,Luke Murphy,Labour Party
Zero Carbon Harrogate,Harrogate and Knaresborough,E14001269,Tom Gordon,Liberal Democrats
Planet Wimborne,Mid Dorset and North Poole,E14001363,Vikki Slade,Liberal Democrats
Powys Brecknock Federation of Women’s Institutes,"Brecon, Radnor and Cwm Tawe",W07000085,David Chadwick,Liberal Democrats
South Shropshire Climate Action,South Shropshire,E14001493,Stuart Anderson,Conservative Party
Zero Carbon Shropshire,Shrewsbury,E14001473,Julia Buckley,Labour Party
Grandparents for climate action,City of Durham,E14001173,Mary Foy,Labour Party
Kidical Mass Exeter,Exeter,E14001231,Steve Race,Labour Party
North East Climate Justice Coalition,Newcastle upon Tyne Central and West,E14001377,Chi Onwurah,Labour Party
Plymouth Green and Science Book Club,Plymouth Sutton and Devonport,E14001427,Luke Pollard,Labour Co-operative
Crynwyr Tyddewi,Mid and South Pembrokeshire,W07000100,Henry Tufnell,Labour Party
East Dorset Friends of the Earth,Bournemouth East,E14001115,Tom Hayes,Labour Party
East Dorset Friends of the Earth,Bournemouth West,E14001116,Jessica Toale,Labour Party
East Dorset Friends of the Earth,Christchurch,E14001171,Christopher Chope,Conservative Party
East Dorset Friends of the Earth,Poole,E14001429,Neil Duncan-Jordan,Labour Party
Greenpeace Bristol,Bristol East,E14001132,Kerry McCarthy,Labour Party
Greenpeace Bristol,Bristol North West,E14001134,Darren Jones,Labour Party
Greenpeace Bristol,Bristol South,E14001135,Karin Smyth,Labour Party
Greenpeace Bristol,Bristol Central,E14001131,Carla Denyer,Green Party
Kirkham Methodist Church,Fylde,E14001242,Andrew Snowden,Conservative Party
Glasgow Community Food Network,Glasgow South,S14000087,Gordon McKee,Labour Party
EcoDewi,Mid and South Pembrokeshire,W07000100,Henry Tufnell,Labour Party
Clevedons Climate Emergency Working Group,North Somerset,E14001399,Sadik Al-Hassan,Labour Party
Climate Action Newcastle,Newcastle upon Tyne Central and West,E14001377,Chi Onwurah,Labour Party
Stretton Climate Care,South Shropshire,E14001493,Stuart Anderson,Conservative Party
Bishop's Castle Climate Action Group,South Shropshire,E14001493,Stuart Anderson,Conservative Party
Friends of the Earth Local Action Group/Ruthin,Clwyd East,W07000094,Becky Gittins,Labour Party
Transition Chesterfield,Chesterfield,E14001165,Toby Perkins,Labour Party
Burley Women’s Institute,New Forest West,E14001374,Desmond Swayne,Conservative Party
Transition Dover,Dover and Deal,E14001202,Mike Tapp,Labour Party
Climate Action Frodsham,Runcorn and Helsby,E14001455,Mike Amesbury,Labour Party
Shropshire wildlife,North Shropshire,E14001398,Helen Morgan,Liberal Democrats
Hawarden Women’s Institute,Alyn and Deeside,W07000082,Mark Tami,Labour Party
Harold Hill Womble’s,Hornchurch and Upminster,E14001292,Julia Lopez,Conservative Party
Wild about Kennington,Oxford West and Abingdon,E14001420,Layla Moran,Liberal Democrats
The Ramsgate Society,East Thanet,E14001216,Polly Billington,Labour Party
University of Aberdeen,Aberdeen North,S14000060,Kirsty Blackman,Scottish National Party
Lampeter Permaculture Group,Ceredigion Preseli,W07000093,Ben Lake,Plaid Cymru
Uffculme Green Team,Tiverton and Minehead,E14001548,Rachel Gilmour,Liberal Democrats
Plastic Free Okehampton,Central Devon,E14001155,Mel Stride,Conservative Party
Climate Action Seacroft,Leeds East,E14001320,Richard Burgon,Labour Party
Brightwell cum Sotwell Environment Group,Didcot and Wantage,E14001197,Olly Glover,Liberal Democrats
One Planet Abingdon Climate Emergency,Oxford West and Abingdon,E14001420,Layla Moran,Liberal Democrats
Abingdon Carbon Cutters,Oxford West and Abingdon,E14001420,Layla Moran,Liberal Democrats
Repair Cafe Gosport,Gosport,E14001252,Caroline Dinenage,Conservative Party
Broughton Astley Women's Institute,South Leicestershire,E14001488,Alberto Costa,Conservative Party
Rotherham Interfaithroup,Rotherham,E14001452,Sarah Champion,Labour Party
Zero Carbon Dorset,Mid Dorset and North Poole,E14001363,Vikki Slade,Liberal Democrats
Zero Carbon Dorset,North Dorset,E14001388,Simon Hoare,Conservative Party
Zero Carbon Dorset,South Dorset,E14001485,Lloyd Hatton,Labour Party
Zero Carbon Dorset,West Dorset,E14001575,Edward Morello,Liberal Democrats
Hammersmith and Fulham Climate Conversations,Hammersmith and Chiswick,E14001264,Andrew Slaughter,Labour Party
Hammersmith and Fulham Climate Conversations,Chelsea and Fulham,E14001160,Ben Coleman,Labour Party
Nagy Yoga,Oxford West and Abingdon,E14001420,Layla Moran,Liberal Democrats
Greysouthen Changing for Climate,Whitehaven and Workington,E14001583,Josh MacAlister,Labour Party
Parish of Brentford,Brentford and Isleworth,E14001124,Ruth Cadbury,Labour Party
Croydon Greenpeace,Croydon East,E14001186,Natasha Irons,Labour Party
Croydon Greenpeace,Croydon West,E14001188,Sarah Jones,Labour Party
Croydon Greenpeace,Croydon South,E14001187,Chris Philp,Conservative Party
GROW (GReen Our Wolverton),Stratford-on-Avon,E14001526,Manuela Perteghella,Liberal Democrats
Hawkesbury & Horton Women's Institute,Thornbury and Yate,E14001545,Claire Young,Liberal Democrats
Friends of Stockwood Nature,Bristol East,E14001132,Kerry McCarthy,Labour Party
Tenby connects,Mid and South pembrokshire,W07000100,Henry Tufnell,Labour Party
Koru Consulting Ltd,Bicester and Woodstock,E14001090,Calum Miller,Liberal Democrats
ONCA,Brighton Pavilion,E14001130,Siân Berry,Green Party
Northamptonshire County Federation of Women's Institutes,Kettering,E14001311,Rosie Wrighting,Labour Party
Northamptonshire County Federation of Women's Institutes,Daventry,E14001192,Stuart Andrew,Conservative Party
One Body Portsmouth,Portsmouth North,E14001431,Amanda Martin,Labour Party
One Body Portsmouth,Portsmouth South,E14001432,Stephen Morgan,Labour Party
Fossil Free East Yorkshire,Beverley and Holderness,E14001087,Graham Stuart,Conservative Party
Greenpeace Portsmouth,Portsmouth South,E14001432,Stephen Morgan,Labour Party
Greenpeace Portsmouth,Portsmouth North,E14001431,Amanda Martin,Labour Party
"Climate Action Group for C of E Parish of Upper Coquetdale, Northumberland",North Northumberland,E14001397,David Smith,Labour Party
Green Christian,Tewkesbury,E14001542,Cameron Thomas,Liberal Democrats
"St John & St Stephen's Church, Reading",Reading Central,E14001438,Matt Rodda,Labour Party
The GRAB Trust,"Argyll, Bute and South Lochaber",S14000067,Brendan O'Hara,Scottish National Party
Enfield Climate Action Forum,Southgate and Wood Green,E14001503,Bambos Charalambous,Labour Party
Enfield Climate Action Forum,Enfield North,E14001225,Feryal Clark,Labour Party
Paddleboard Maidenhead Ltd,Maidenhead,E14001348,Joshua Reynolds,Liberal Democrats
Just Love Falmouth,Truro and Falmouth,E14001554,Jayne Kirkham,Labour Co-operative
Bedfordshire Climate Change Forum,Mid Bedfordshire,E14001359,Blake Stephenson,Conservative Party
Bedfordshire Climate Change Forum,North Bedfordshire,E14001384,Richard Fuller,Conservative Party
Bedfordshire Climate Change Forum,Bedford,E14001084,Mohammad Yasin,Labour Party
Garforth Women's Institute,Leeds East,E14001320,Richard Burgon,Labour Party
Hinderwell Women's Institute,Scarborough and Whitby,E14001461,Alison Hume,Labour Party
Kirkby in Bloom,Skipton and Ripon,E14001475,Julian Smith,Conservative Party
Whalley Range Climate Action Group,Manchester Rusholme,E14001353,Afzal Khan,Labour Party
Ashburnham & Penhurst Women's Institute,Bexhill and Battle,E14001088,Kieran Mullan,Conservative Party
Stretton Climate Care,South Shropshire,E14001493,Stuart Anderson,Conservative Party
The Green Group in Almeley,North Herefordshire,E14001395,Ellie Chowns,Green Party
Newtown Women's Institute,Montgomeryshire and Glyndŵr,W07000102,Steve Witherden,Labour Party
Pill and Easton-in-Gordano Wildlife Group,North Somerset,E14001399,Sadik Al-Hassan,Labour Party
Wheldrake Womans Institute,York Outer,E14001605,Luke Charters,Labour Party
Zero Carbon Shropshire,Telford,E14001541,Shaun Davies,Labour Party
Zero Carbon Shropshire,The Wrekin,E14001543,Mark Pritchard,Conservative Party
Zero Carbon Shropshire,North Shropshire,E14001398,Helen Morgan,Liberal Democrats
Nature Chain Winsley,Melksham and Devizes,E14001356,Brian Mathew,Liberal Democrats
Fell's Angels Women's Institute,Gateshead Central and Whickham,E14001244,Mark Ferguson,Labour Party
Hendreds Environment Group (HEG),Didcot and Wantage,E14001197,Olly Glover,Liberal Democrats
Fairtrade Portishead,North Somerset,E14001399,Sadik Al-Hassan,Labour Party
Kemsing Evening Women's Institute,Sevenoaks,E14001465,Laura Trott,Conservative Party
Festival Drayton Centre,North Shropshire,E14001398,Helen Morgan,Liberal Democrats
Powys Montgomery Federation of Women's Institutes,Montgomeryshire and Glyndŵr,W07000102,Steve Witherden,Labour Party
"Christ Church, Lancaster",Lancaster and Wyre,E14001318,Cat Smith,Labour Party
Llanfair Caereinion Women's Institute,Montgomeryshire and Glyndŵr,W07000102,Steve Witherden,Labour Party
Sustainable Bridgnorth,South Shropshire,E14001493,Stuart Anderson,Conservative Party
"Market Drayton Branch, Shropshire Wildlife Trust",North Shropshire,E14001398,Helen Morgan,Liberal Democrats
Wheldrake Womens Institute,York Outer,E14001605,Luke Charters,Labour Party
"National Women's Register, Market Drayton",North Shropshire,E14001398,Helen Morgan,Liberal Democrats
Sustainable Living in the Heatons,Stockport,E14001517,Navendu Mishra,Labour Party
Havant Climate Action,Havant,E14001275,Alan Mak,Conservative Party
Transition West Gateshead,Gateshead Central and Whickham,E14001244,Mark Ferguson,Labour Party
Green Space Friends,Penrith and Solway,E14001424,Markus Campbell-Savours,Labour Party
Suffolk West Federation Women's Institute,West Suffolk,E14001578,Nick Timothy,Conservative Party
Suffolk West Federation Women's Institute,South Suffolk,E14001494,James Cartlidge,Conservative Party
Suffolk West Federation Women's Institute,Bury St Edmunds and Stowmarket,E14001146,Peter Prinsley,Labour Party
Harwell Women's Institute,Didcot and Wantage,E14001197,Olly Glover,Liberal Democrats
Byland with Wass Women's Institute,Thirsk and Malton,E14001544,Kevin Hollinrake,Conservative Party
Garforth Women's Institute,DUPLICATE,E14001206,Alex Mayer,Labour Party
Hillingdon Friends of the Earth,Hayes and Harlington,E14001276,John Martin McDonnell,Labour Party
Hillingdon Friends of the Earth,Uxbridge and South Ruislip,E14001558,Danny Beales,Labour Party
Hillingdon Friends of the Earth,"Ruislip, Northwood and Pinner",E14001454,David Simmonds,Conservative Party
West of Scotland Development Education Centre,Glasgow North,S14000085,Martin Rhodes,Labour Party
Nuthall Methodist Church Eco Church,Nottingham North and Kimberley,E14001411,Alex Norris,Labour Co-operative
Hadlow Women's Institute,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
Hadlow Community Allotment,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
HadLOW CARBON Community,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
Horsham Eco Churches,Horsham,E14001294,John Milne,Liberal Democrats
Bawtry Women's Institute,Doncaster East and the Isle of Axholme,E14001199,Lee Pitcher,Labour Party
Surfers Against Sewage,East Worthing and Shoreham,E14001218,Tom Rutland,Labour Party
South Tonbridge Women's Institute,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
Goodnestone Women's Institute,Herne Bay and Sandwich,E14001282,Roger Gale,Conservative Party
Tonbridge Repair Cafe,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
One Planet Abingdon Climate Emergency Centre,Oxford West and Abingdon,E14001420,Layla Moran,Liberal Democrats
The Green Skills Library,Maidenhead,E14001348,Joshua Reynolds,Liberal Democrats
